HVDC_LINK_ID,FROM_NODE,TO_NODE,FORWARD_LIMIT_MW,REVERSE_LIMIT_MW,VOLTAGE_KV
N-Q-MNSP1,605,298,107,210,132.0
T-V-MNSP1,708,88,594,478,400.0
V-S-MNSP1,806,236,650,650,220.0
