LINE_ID,NAME,FROM_NODE,TO_NODE,R_PU,X_PU,B_PU,NUM_LINES
l_727,Tarong Power Station to Tarong,454,455,2.892591610237148e-07,0.0006653032603343589,8.885449526750322e-06,1
l_728,Tarong North Power Station to Tarong,454,456,4.3560361368718924e-07,0.0010018991390760333,1.3380851653546218e-05,1
l_729,Greenbank to Molendinar,314,103,1.2771008151818694e-05,0.029373636192165622,0.00039229923760097826,2
l_731,Coomera to Cades County,313,160,8.359397387833757e-06,0.017015438292729043,7.427994589830895e-06,1
l_732,Cades County to Molendinar,160,314,1.4988318603008137e-05,0.030508516160796677,1.3318322401545375e-05,1
l_733,Beenleigh to Stradbroke Island,855,97,6.221809715454346e-05,0.12664408015402373,5.5285766139810756e-05,1
l_734,Ibis to Rocky Point Tee,165,98,2.746498921678271e-05,0.055904607419284054,2.4404844254556092e-05,1
l_735,Beenleigh to Rocky Point Tee,855,165,1.7231100630793484e-05,0.03507366810026113,1.531121399356438e-05,1
l_736,Rocky Point to Rocky Point Tee,165,99,2.78468629158014e-06,0.005668190607608982,2.4744169643541416e-06,1
l_737,Woolooga to Mungar,388,674,5.954011848349907e-05,0.12421254563426007,0.00010703940534488795,1
l_738,Teebar Creek to Gin Gin,671,717,2.2523821257558552e-05,0.05180534875648585,0.0006918856994028775,1
l_739,Woolooga to Gin Gin,388,717,3.347039719979181e-05,0.07698274551754597,0.001028142112790866,1
l_740,Woolooga to Gin Gin,388,717,3.323566993555304e-05,0.07644286697529086,0.0010209317715468257,1
l_741,Maryborough to Aramara,672,677,3.1850044354670844e-05,0.06644553602885714,5.7259036339961275e-05,1
l_742,Maryborough to Aramara,672,677,3.1791892667556675e-05,0.0663242200275902,5.7154493014098935e-05,1
l_743,Bundaberg to Isis,673,1,5.566905640699492e-05,0.11331359787803308,4.946641852604947e-05,1
l_744,Bundaberg to Isis,673,1,5.5682037017961253e-05,0.11334001973294107,4.947795283929685e-05,1
l_745,Calliope River-H67 to Wurdong,616,432,3.906411300789717e-06,0.008984843091656858,0.0001199969616210302,1
l_746,Gin Gin-H6 to Calliope River-H67,717,616,3.391543037012692e-05,0.07800633287129831,0.0010418126211292971,1
l_747,Calliope River-H67 to Boyne Island,516,380,2.0954782443067023e-05,0.04371584969530765,3.7671867456209605e-05,2
l_749,Gladstone-T5 to to Gladstone North,378,439,7.586765925176957e-07,0.0015827504759814354,1.3639255913588088e-06,1
l_750,Gladstone-T5 to Gladstone North,378,439,9.058343816952522e-07,0.0018897509333070262,1.6284813673067433e-06,1
l_751,Gladstone South-T152 to Queensland Alumina Limited South Tee,433,434,2.1349108700237304e-06,0.0044538492804879655,3.838077514995361e-06,1
l_752,Gladstone South-T152 to Queensland Alumina Limited,433,379,3.164239429050748e-06,0.006601233663779449,5.6885729400808405e-06,1
l_753,Queensland Alumina Limited South to Tee,434,324,4.248448398732514e-08,8.863109514110406e-05,7.63773069018664e-08,1
